0MinReturn,Time,1AverageReturn,0EnvExecTime,0StdReturn,1MaxReturn,LossAfter,LossBefore,ItrTime,0AveragePolicyStd,1ExplainedVariance,1Entropy,MeanKLBefore,0PolicyExecTime,0Perplexity,1ProcessExecTime,0Entropy,1EnvExecTime,0ProcessExecTime,0AverageReturn,0ExplainedVariance,MeanKL,1PolicyExecTime,1NumTrajs,0NumTrajs,1MinReturn,1Perplexity,1AveragePolicyStd,ComputeUpdatedDistTime,1StdReturn,0MaxReturn,dLoss
-161.66927168234332,138.8087408542633,-69.32147690599051,2.852203369140625,28.262819869715994,-3.105061012504893,-0.010569688864052296,-0.0003149503900203854,138.8087456226349,1.0,0.5194171976373869,2.8363342,8.807949569700213e-08,5.449272155761719,17.07946,0.5229001045227051,2.8378766,2.6440937519073486,0.6264207363128662,-68.8997780970941,0.5123188987869891,0.003835038049146533,16.337200164794922,406,406,-163.7505952480508,17.053139,0.9992324,32.77073645591736,28.068422110381015,-1.3901839236097688,0.01025473847403191
-171.53299185700203,171.14306592941284,-58.79265747090053,2.273460865020752,27.45280333084949,-0.008527315729490056,-0.011986750178039074,-0.00013894647418055683,32.33049654960632,1.0003098,0.5044149316937676,2.8357255,4.340739323538401e-09,3.458700180053711,17.089842,0.5347163677215576,2.8384843,2.646343946456909,0.5239388942718506,-61.585330924247735,0.4931875586591895,0.004165784455835819,17.040627241134644,412,408,-135.9552192597189,17.04276,0.9989378,0.6660027503967285,25.799777456565767,-0.04840953459366922,0.011847803703858517
-131.89688240843742,210.10991787910461,-47.22581209351277,3.117408514022827,20.64356420711243,-0.203892894481558,-0.0121445432305336,-0.00020706052600871772,38.96109485626221,0.99530363,0.5294656820104608,2.8259082,1.3990483438419687e-08,5.986725807189941,16.919409,0.5857365131378174,2.8284614,2.7618558406829834,0.7512557506561279,-54.532365987541766,0.5627216731463429,0.004362962674349546,19.7545325756073,413,408,-111.01537458650203,16.876265,0.99404097,1.287930965423584,19.21165570829157,-0.2303281048993789,0.011937482704524882
-100.71959505288142,250.5818133354187,-40.62071883243056,3.191561222076416,17.32321853854224,-0.1414222697932293,-0.014053015038371086,0.000184498232556507,40.46626567840576,0.9883488,0.5646996552457783,2.8125484,6.155130449769786e-07,5.447486877441406,16.683754,0.6101737022399902,2.8144355,3.0641427040100098,0.7959036827087402,-47.8101554026633,0.5571967832250373,0.004582948051393032,21.80644917488098,415,412,-99.72692144103766,16.652302,0.9874242,0.6746325492858887,14.867002127814528,-0.38512583261760275,0.014237513270927593
-107.76250814695823,288.6226382255554,-33.13248594620096,3.0348613262176514,15.62636246469338,-0.10562275735510314,-0.015865638852119446,-0.00160187145229429,38.03506684303284,0.9867644,0.6131415834795622,2.8084097,4.207497568131657e-06,4.736694812774658,16.630352,0.5983388423919678,2.8112295,2.968820333480835,0.6566896438598633,-43.92161102307646,0.5607741836497405,0.004057934042066336,20.451049327850342,413,410,-76.70954106963045,16.583525,0.9853815,0.7477231025695801,10.190837529048105,-1.2837658950123685,0.014263767399825156
-74.74628506906275,324.1466438770294,-26.801022971649243,2.695249557495117,13.29011072800313,-0.2425085027044644,0.003796730889007449,0.016003958880901337,35.51966619491577,0.9818878,0.6498606993033886,2.7984214,1.2038590284646489e-05,4.565819025039673,16.466248,0.589569091796875,2.8013127,2.8746559619903564,0.7023863792419434,-39.371971649608064,0.6003182063822383,0.003850830951705575,19.04178237915039,425,413,-52.133186415982074,16.418707,0.9804724,0.523707389831543,8.031311867088263,-0.007762342809782439,0.012207227991893888
-82.25228319466726,358.46677684783936,-26.258354666936654,2.990832567214966,14.013185297749944,-1.0771946012529603,-0.01267202477902174,-0.0007935925386846066,34.314525842666626,0.974536,0.6246950799378023,2.7833939,1.2962345863343216e-06,4.74229621887207,16.22038,0.5447831153869629,2.7862685,2.6971395015716553,0.7073781490325928,-45.26091350501891,0.6429771683492365,0.004140153992921114,17.45058822631836,428,408,-51.8052632304653,16.17382,0.97314215,0.9117662906646729,8.121379815678722,-3.060230533091799,0.011878432240337133
-82.50460868893015,390.9141802787781,-23.33407570894033,2.5155911445617676,16.198291471826163,-0.0788915527002894,-0.009333638474345207,0.0014038123190402985,32.44355916976929,0.96654695,0.5819587778123047,2.7675035,3.7477113892236957e-06,4.306740760803223,15.955544,0.5388004779815674,2.7698064,2.6713013648986816,0.6579160690307617,-41.177148334887995,0.5623215548800149,0.003742547007277608,17.079658269882202,435,412,-56.655102821888796,15.918843,0.96544313,0.39615559577941895,8.180749533183896,-0.009232525606234424,0.010737450793385506
-74.14078528999919,427.29805421829224,-22.199511347103147,2.9467813968658447,16.23701455776772,-0.3401703893857931,-0.007664109580218792,0.0015071672387421131,36.376030921936035,0.96027386,0.6181584351120754,2.7551682,2.732726170506794e-05,4.398016691207886,15.748868,0.5790443420410156,2.7567685,2.8263120651245117,0.7077264785766602,-40.837267051410336,0.5375523034595808,0.0037520804908126593,19.904484272003174,438,413,-42.104655564799224,15.723685,0.9595141,0.946819543838501,7.760851844616591,-0.14313468002481347,0.009171276818960905
-83.03867827023011,458.11119532585144,-19.617808779232703,2.422471284866333,12.969389561547503,-0.5111772512921985,-0.008091443218290806,-7.020819481340368e-10,30.80797290802002,0.95527273,0.6156396785548546,2.745559,0.0,3.506160259246826,15.5857115,0.5660929679870605,2.7463546,2.7060418128967285,0.6133103370666504,-42.6605478446444,0.6639277629487632,0.003532365197315812,16.244438648223877,443,404,-42.2455863682627,15.573317,0.95489764,0.6150856018066406,6.579448728130766,-0.006804970735813928,0.008091442516208858
-79.56060893021301,492.792466878891,-18.175819268425172,2.350421667098999,15.598144837741685,-0.007679729094352539,-0.0076755015179514885,-0.00014713917335029691,34.67844247817993,0.9448677,0.616119777026719,2.7235274,9.323820449935738e-06,3.2043609619140625,15.247453,0.5939857959747314,2.7244124,2.929433584213257,0.6205508708953857,-37.4642971668319,0.5420220789279835,0.0035107594449073076,19.29413652420044,449,417,-37.84550539566188,15.233964,0.94445854,1.3408102989196777,6.435362457371778,-0.06970457115625397,0.007528362344601192
-70.36949295560565,529.4785404205322,-17.312454384336128,2.6684682369232178,15.89342421799637,-0.3089178015494637,0.0033954817336052656,0.0092939343303442,36.680516719818115,0.93304247,0.508000030636002,2.6970117,0.0002154279500246048,5.250936269760132,14.868207,0.5953240394592285,2.6992252,2.895798921585083,0.689244270324707,-35.24696829336038,0.49213394354760986,0.003570349421352148,18.572136163711548,461,413,-37.37105381065862,14.835333,0.932012,1.140669822692871,7.358091546475352,-0.16637705868289043,0.0058984525967389345
