0MinReturn,MeanKLBefore,0AveragePolicyStd,0AverageReturn,1StdReturn,LossBefore,0Perplexity,0NumTrajs,0ExplainedVariance,1Entropy,ItrTime,1Perplexity,0PolicyExecTime,0StdReturn,LossAfter,1ProcessExecTime,dLoss,1AverageReturn,MeanKL,0EnvExecTime,0MaxReturn,Time,0ProcessExecTime,1MaxReturn,1EnvExecTime,ComputeUpdatedDistTime,1ExplainedVariance,1NumTrajs,0Entropy,1PolicyExecTime,1MinReturn,1AveragePolicyStd
-193.29694153846395,2.1963752772080625e-07,1.0,-69.60455089950152,28.90453104772183,0.0008804986136965454,17.079464,813,0.5008106066255447,2.8368576,130.16716074943542,17.062065,1.8822221755981445,29.449711162135003,-0.011996175162494183,0.5997538566589355,0.012876673776190728,-69.47172989519922,0.005992671940475702,2.800435781478882,-0.09421551618105915,130.16715812683105,0.5499467849731445,-0.9361771886830342,3.094834804534912,31.918429136276245,0.5037857833366137,811,2.8378768,16.163816928863525,-181.34783457733784,0.9994915
-155.39354747874873,3.2203510613726394e-07,0.9963057,-56.57931398775185,20.836309164630467,-0.0004981823731213808,16.95329,819,0.5138622920064053,2.8296573,29.332446813583374,16.939655,1.2696959972381592,23.953225075973908,-0.014497975818812847,0.6362555027008057,0.013999793445691466,-53.17008314065301,0.007504328619688749,2.7970492839813232,-0.007151485091066102,159.50268650054932,0.5713655948638916,-0.008774524518901665,2.948772668838501,0.6108722686767578,0.5294547238970433,816,2.830462,16.058310747146606,-161.62970104725997,0.9959062
-110.33638800235468,3.560980132988334e-08,0.9901224,-50.87542445936906,16.48156785404505,0.002837525214999914,16.743156,811,0.5941155402454044,2.816615,29.677764892578125,16.72016,1.2818553447723389,17.544776435776146,-0.012658858671784401,0.6915321350097656,0.015496383886784315,-46.09836654598666,0.006515899673104286,2.788682460784912,-0.11626658498326145,189.18334102630615,0.6129405498504639,-0.178300197754045,3.180360794067383,0.6282963752746582,0.5674113768105848,816,2.8179896,16.260748147964478,-120.78749875587172,0.9894427
-90.38183810872397,5.885653536097379e-06,0.98075783,-45.72438599425148,12.287330118187135,-0.0005684936186298728,16.42774,818,0.5854456420883173,2.7974207,28.683322191238403,16.402287,1.320570945739746,16.16825803335039,-0.01900331676006317,0.6079442501068115,0.0184348231414333,-36.421607336395404,0.007969824597239494,2.8143997192382812,-0.10019937183949147,217.86933827400208,0.6172780990600586,-0.6894445441356234,2.903862714767456,0.6118795871734619,0.5914700595906232,829,2.7989714,15.702220439910889,-78.41790296862695,0.98000026
-94.2935312548961,1.07878111066384e-06,0.9769617,-45.78175536178623,9.996597871170716,-0.0005481058615259826,16.301193,814,0.6101635645473302,2.7904644,29.689406156539917,16.288582,1.1161010265350342,14.838858399901833,-0.020086828619241714,0.6220083236694336,0.019538722757715732,-31.79510358193905,0.008949059061706066,2.675436019897461,-0.6456439849333637,247.56147813796997,0.6238386631011963,-1.6681447393055988,2.9449896812438965,1.130732774734497,0.6208749317313336,827,2.7912383,16.22894048690796,-68.54780258107745,0.9765859
-82.32331736621245,2.751283545876504e-06,0.96718997,-42.26365040792897,7.674186333046271,0.004472749307751656,15.976675,818,0.6164382570262583,2.7703218,29.487800121307373,15.963771,1.0499708652496338,14.185266309716084,-0.009600949473679066,0.6164541244506836,0.014073698781430721,-24.568930237349733,0.006784996949136257,2.5689425468444824,-0.6810261235038615,277.0539150238037,0.6076428890228271,-0.03349794385484023,2.9246432781219482,0.6114773750305176,0.6391026935017401,855,2.7711298,15.859145402908325,-49.39312316475839,0.96679986
-80.55879768564242,2.683827005967032e-06,0.95393187,-41.065565484347985,7.576226561578322,0.0009521017782390118,15.541844,819,0.6099503955226353,2.7420628,29.02824330329895,15.518965,1.3188884258270264,14.56842669704362,-0.012717987410724163,0.6185944080352783,0.013670089188963175,-22.09842245389651,0.007856939919292927,2.8470962047576904,-0.008237417447521923,306.086284160614,0.6632733345031738,-0.008658891821800891,2.8434746265411377,0.5952205657958984,0.6122705942690507,867,2.743536,15.314406394958496,-46.46576417389816,0.9532305
-75.40848929913955,0.0001554991031298414,0.9406016,-43.80037858492217,8.084529888304548,0.006350996438413858,15.110685,810,0.6210794395117456,2.714599,29.63435387611389,15.098553,1.6808931827545166,14.655572704548707,-0.006927046924829483,0.6416811943054199,0.013278043363243341,-21.10194016297579,0.008173208683729172,3.087522506713867,-0.873325029563876,335.72346448898315,0.6902906894683838,-0.2237958156066719,2.988856077194214,0.6092565059661865,0.574272639046618,876,2.7154021,15.423533916473389,-45.39688498542488,0.9402256
-74.44078871567952,7.662818097742274e-05,0.9288882,-42.59657786615311,6.670088286060397,0.0007779651787132025,14.736468,814,0.5850486657635436,2.689431,30.197100400924683,14.723295,1.9214177131652832,15.769636305560766,-0.009574723429977894,0.6662719249725342,0.010352688608691096,-19.23945369725154,0.008225200697779655,3.170325756072998,-0.9156545391976245,365.923641204834,0.7035799026489258,-0.008647474583407172,3.1636900901794434,0.6048636436462402,0.6070484242704874,890,2.6903253,15.993639469146729,-35.3672803096749,0.9284747
-66.03583879628955,0.00015834531222935766,0.9137942,-39.72116316966243,6.163063150398312,0.0014521601842716336,14.261593,810,0.6454012955172383,2.6568758,27.480520009994507,14.251695,1.03682279586792,12.767191515475325,-0.0071046007797122,0.6168043613433838,0.008556760963983834,-15.871575415261894,0.007165546528995037,2.7893853187561035,-1.4728532513948536,393.40681552886963,0.6101589202880859,-0.10557569174465234,2.8921432495117188,0.595994234085083,0.5640107869148966,930,2.6575701,14.916457891464233,-29.891946222511905,0.91347885
