1NumTrajs,0StdReturn,Time,0AveragePolicyStd,1EnvExecTime,1PolicyExecTime,0EnvExecTime,1MinReturn,0Entropy,MeanKL,0AverageReturn,1ProcessExecTime,0MaxReturn,1ExplainedVariance,MeanKLBefore,1AveragePolicyStd,1MaxReturn,1StdReturn,1Entropy,0ExplainedVariance,dLoss,0NumTrajs,0Perplexity,0ProcessExecTime,ComputeUpdatedDistTime,LossBefore,1Perplexity,ItrTime,1AverageReturn,0PolicyExecTime,0MinReturn,LossAfter
412,28.262819869715994,57.89863562583923,1.0,1.5023047924041748,8.416515350341797,1.4230318069458008,-184.63594346360912,2.8378766,0.0037278570234775543,-68.8997780970941,0.2886531352996826,-1.3901839236097688,0.5206239676233397,2.2272608930506976e-06,0.9962542,-0.16523917017725262,24.627038522137106,2.8301904,0.5123188987869891,0.011231673008296639,406,17.07946,0.2721550464630127,11.86967396736145,-0.0003215679316781461,16.948689,57.8986394405365,-60.81077657876774,1.51918625831604,-161.66927168234332,-0.011553240939974785
411,24.394394311296193,72.91966271400452,1.0025474,1.4385755062103271,8.00382924079895,1.3854756355285645,-163.7700252998041,2.8429646,0.004864053335040808,-59.80908366708975,0.2914595603942871,-0.007448680424983614,0.5138721532744562,1.4711301332681614e-07,0.9945818,-0.007448680424983614,20.69683300269923,2.8267744,0.545084214738152,0.01412267834530212,406,17.166584,0.2939269542694092,0.31547975540161133,-0.00024943481548689306,16.890888,15.018311738967896,-49.02853264666512,0.9921588897705078,-149.57424830641293,-0.014372113160789013
413,18.20541968183098,89.03623104095459,1.0031655,1.519148588180542,8.539271354675293,1.495697021484375,-113.89039392644983,2.8441975,0.004959380254149437,-51.2943547736502,0.29677700996398926,-0.26087766829214526,0.5402645898609335,9.525608220428694e-06,0.998458,-0.49085812727623346,16.43300906158498,2.834474,0.5520336546803666,0.014077090192586184,408,17.18776,0.32158541679382324,0.36685895919799805,0.0033191912807524204,17.021446,16.113722562789917,-41.49621829727241,1.2802464962005615,-120.93870809172684,-0.010757898911833763
413,16.57187680634171,104.10150909423828,1.0016063,1.457880973815918,7.980674982070923,1.3954198360443115,-95.14197866354942,2.841087,0.004962480627000332,-50.88758021673462,0.28798604011535645,-5.92956149089025,0.5770132934252564,1.5507272337345057e-06,0.99345917,-1.7757529611461313,12.805037203873484,2.8245363,0.6123554900213968,0.013270363910123706,403,17.134382,0.30234622955322266,0.3177485466003418,0.0010996449273079634,16.853128,15.06253433227539,-35.52059756214687,0.973595380783081,-96.23871799263354,-0.012170718982815742
425,16.095446831105647,120.1083505153656,1.0007496,1.5149083137512207,8.636056423187256,1.4570939540863037,-66.9902960901272,2.839372,0.004899134393781424,-39.79478745118145,0.30847787857055664,-0.13278259727627884,0.590350195254119,6.113530162110692e-06,0.9964237,-0.0790726994060441,10.0588737100133,2.8304195,0.5285308896863696,0.01403814705554396,417,17.105019,0.31183791160583496,0.31702303886413574,0.0018505562329664826,16.952572,16.003554582595825,-28.35763432327858,1.2109284400939941,-91.06563115306271,-0.012187590822577477
424,14.379585546030953,135.37995290756226,0.9963998,1.4433891773223877,7.847023963928223,1.5084753036499023,-43.886101322876044,2.8306577,0.003378800582140684,-43.713866197897744,0.2956807613372803,-0.7092204841967544,0.6428565275550584,8.289352081192192e-06,0.994556,-1.2963687318582744,7.375455505491247,2.8265967,0.621881660878802,0.010603767354041338,405,16.95661,0.32826685905456543,0.3277592658996582,0.002602360676974058,16.88789,15.268995523452759,-25.26564240880655,1.1293020248413086,-75.18024504627324,-0.00800140667706728
433,17.022449410559783,151.22955775260925,0.98929924,1.5120205879211426,8.474601030349731,1.4521737098693848,-46.91630405016448,2.8163602,0.003537712851539254,-43.52851380595505,0.3082871437072754,-0.1446519405746964,0.6083253461441545,9.500420787844632e-07,0.9859645,-0.10854652637730197,8.032447812204333,2.8093665,0.5582905009259475,0.009228254260960966,411,16.715899,0.31202077865600586,0.33387041091918945,0.000565896334592253,16.599398,15.84691858291626,-23.325737210998334,1.214073657989502,-91.25034202507314,-0.008662357926368713
438,12.098993421514916,166.97267627716064,0.98148453,1.6482815742492676,8.15790867805481,1.4561488628387451,-42.90776832116541,2.8004851,0.0034663064870983362,-40.94771716023312,0.3331737518310547,-0.6724807213215087,0.6024574046702662,1.824917308113072e-05,0.97255194,-0.40254724398954783,6.821750749246476,2.7818952,0.6741988871521076,0.009742227615788579,406,16.452627,0.3095719814300537,0.3026862144470215,0.0013298674020916224,16.149597,15.740423440933228,-20.654802439865133,1.1575806140899658,-68.88118546640435,-0.008412360213696957
446,13.482042830395182,182.89228987693787,0.9735409,1.5018436908721924,8.551017761230469,1.4562678337097168,-35.961320877730714,2.7842329,0.004376491066068411,-40.389184339600185,0.3068053722381592,-0.006535516245283042,0.6194735153165207,0.0004912597360089421,0.9688787,-0.10728666260185252,6.427953782712427,2.774408,0.6371909042460981,0.007780541433021426,408,16.187395,0.31838274002075195,0.3421921730041504,0.0029724992346018553,16.029137,15.916933059692383,-18.63263689547251,1.2130746841430664,-72.36795098740306,-0.004808042198419571
462,14.623811248784914,197.98202896118164,0.9813205,1.3839991092681885,7.677053451538086,1.4476652145385742,-35.809027459958635,2.800153,0.00347274006344378,-38.246485792872335,0.28947877883911133,-0.27249296701995684,0.5765014672777165,2.813384708133526e-05,0.9756356,-0.03662573340413242,7.242006932653161,2.7882113,0.5749067077078877,0.008261274982942268,412,16.447163,0.30066895484924316,0.32068514823913574,0.00032499569351784885,16.251925,15.08707070350647,-17.878038427719943,1.2241804599761963,-74.13397297112233,-0.00793627928942442
